monarch	regnalyearnumber	regnalyeardaterangetext
Car. 2	11	1659-01-30J11/1660-01-29J11
Car. 2	10	1658-01-30J11/1659-01-29J11
Car. 2	9	1657-01-30J11/1658-01-29J11
Car. 2	8	1656-01-30J11/1657-01-29J11
Car. 2	7	1655-01-30J11/1656-01-29J11
Car. 2	6	1654-01-30J11/1655-01-29J11
Car. 2	5	1653-01-30J11/1654-01-29J11
Car. 2	4	1652-01-30J11/1653-01-29J11
Car. 2	3	1651-01-30J11/1652-01-29J11
Car. 2	1	1649-01-30J11/1650-01-29J11
Car. 2	2	1650-01-30J11/1651-01-29J11
Car. 2	37	1685-01-30J11/1685-02-06J11
Car. 2	36	1684-01-30J11/1685-01-29J11
Car. 2	35	1683-01-30J11/1684-01-29J11
Car. 2	34	1682-01-30J11/1683-01-29J11
Car. 2	33	1681-01-30J11/1682-01-29J11
Car. 2	32	1680-01-30J11/1681-01-29J11
Car. 2	31	1679-01-30J11/1680-01-29J11
Car. 2	30	1678-01-30J11/1679-01-29J11
Car. 2	29	1677-01-30J11/1678-01-29J11
Car. 2	28	1676-01-30J11/1677-01-29J11
Car. 2	27	1675-01-30J11/1676-01-29J11
Car. 2	26	1674-01-30J11/1675-01-29J11
Car. 2	25	1673-01-30J11/1674-01-29J11
Car. 2	24	1672-01-30J11/1673-01-29J11
Car. 2	23	1671-01-30J11/1672-01-29J11
Car. 2	22	1670-01-30J11/1671-01-29J11
Car. 2	21	1669-01-30J11/1670-01-29J11
Car. 2	20	1668-01-30J11/1669-01-29J11
Car. 2	19	1667-01-30J11/1668-01-29J11
Car. 2	18	1666-01-30J11/1667-01-29J11
Car. 2	17	1665-01-30J11/1666-01-29J11
Car. 2	16	1664-01-30J11/1665-01-29J11
Car. 2	15	1663-01-30J11/1664-01-29J11
Edw.	25	1296-11-20J11/1297-11-20J11
Edw.	1	1272-11-20J11/1273-11-20J11
Edw.	2	1273-11-20J11/1274-11-20J11
Edw.	3	1274-11-20J11/1275-11-20J11
Edw.	4	1275-11-20J11/1276-11-20J11
Edw.	5	1276-11-20J11/1277-11-20J11
Edw.	6	1277-11-20J11/1278-11-20J11
Edw.	7	1278-11-20J11/1279-11-20J11
Edw.	8	1279-11-20J11/1280-11-20J11
Edw.	9	1280-11-20J11/1281-11-20J11
Edw.	10	1281-11-20J11/1282-11-20J11
Edw.	11	1282-11-20J11/1283-11-20J11
Edw.	12	1283-11-20J11/1284-11-20J11
Edw.	13	1284-11-20J11/1285-11-20J11
Edw.	14	1285-11-20J11/1286-11-20J11
Edw.	15	1286-11-20J11/1287-11-20J11
Edw.	16	1287-11-20J11/1288-11-20J11
Edw.	17	1288-11-20J11/1289-11-20J11
Edw.	18	1289-11-20J11/1290-11-20J11
Edw.	19	1290-11-20J11/1291-11-20J11
Edw.	20	1291-11-20J11/1292-11-20J11
Edw.	21	1292-11-20J11/1293-11-20J11
Edw.	22	1293-11-20J11/1294-11-20J11
Edw.	23	1294-11-20J11/1295-11-20J11
Edw.	24	1295-11-20J11/1296-11-20J11
Edw.	26	1297-11-20J11/1298-11-20J11
Edw.	27	1298-11-20J11/1299-11-20J11
Edw.	28	1299-11-20J11/1300-11-20J11
Edw.	29	1300-11-20J11/1301-11-20J11
Edw.	30	1301-11-20J11/1302-11-20J11
Edw.	31	1302-11-20J11/1303-11-20J11
Edw.	32	1303-11-20J11/1304-11-20J11
Edw.	33	1304-11-20J11/1305-11-20J11
Edw.	34	1305-11-20J11/1306-11-20J11
Edw.	35	1306-11-20J11/1307-07-07J11
Edw. 2	8	1314-07-08J11/1315-07-07J11
Edw. 2	1	1307-07-08J11/1308-07-07J11
Edw. 2	7	1313-07-08J11/1314-07-07J11
Edw. 2	13	1319-07-08J11/1320-07-07J11
Edw. 2	6	1312-07-08J11/1313-07-07J11
Edw. 2	5	1311-07-08J11/1312-07-07J11
Edw. 2	4	1310-07-08J11/1311-07-07J11
Edw. 2	20	1326-07-08J11/1327-01-20J11
Edw. 2	19	1325-07-08J11/1326-07-07J11
Edw. 2	18	1324-07-08J11/1325-07-07J11
Edw. 2	17	1323-07-08J11/1324-07-07J11
Edw. 2	16	1322-07-08J11/1323-07-07J11
Edw. 2	15	1321-07-08J11/1322-07-07J11
Edw. 2	14	1320-07-08J11/1321-07-07J11
Edw. 2	3	1309-07-08J11/1310-07-07J11
Edw. 2	2	1308-07-08J11/1309-07-07J11
Edw. 2	12	1318-07-08J11/1319-07-07J11
Edw. 2	11	1317-07-08J11/1318-07-07J11
Edw. 2	10	1316-07-08J11/1317-07-07J11
Edw. 2	9	1315-07-08J11/1316-07-07J11
Edw. 3	13	1339-01-25J11/1340-01-24J11
Edw. 3	51	1377-01-25J11/1377-06-21J11
Edw. 3	50	1376-01-25J11/1377-01-24J11
Edw. 3	49	1375-01-25J11/1376-01-24J11
Edw. 3	48	1374-01-25J11/1375-01-24J11
Edw. 3	47	1373-01-25J11/1374-01-24J11
Edw. 3	46	1372-01-25J11/1373-01-24J11
Edw. 3	45	1371-01-25J11/1372-01-24J11
Edw. 3	44	1370-01-25J11/1371-01-24J11
Edw. 3	14	1340-01-25J11/1341-01-24J11
Edw. 3	43	1369-01-25J11/1370-01-24J11
Edw. 3	42	1368-01-25J11/1369-01-24J11
Edw. 3	41	1367-01-25J11/1368-01-24J11
Edw. 3	40	1366-01-25J11/1367-01-24J11
Edw. 3	39	1365-01-25J11/1366-01-24J11
Edw. 3	38	1364-01-25J11/1365-01-24J11
Edw. 3	37	1363-01-25J11/1364-01-24J11
Edw. 3	36	1362-01-25J11/1363-01-24J11
Edw. 3	35	1361-01-25J11/1362-01-24J11
Edw. 3	34	1360-01-25J11/1361-01-24J11
Edw. 3	33	1359-01-25J11/1360-01-24J11
Edw. 3	32	1358-01-25J11/1359-01-24J11
Edw. 3	31	1357-01-25J11/1358-01-24J11
Edw. 3	30	1356-01-25J11/1357-01-24J11
Edw. 3	29	1355-01-25J11/1356-01-24J11
Edw. 3	28	1354-01-25J11/1355-01-24J11
Edw. 3	27	1353-01-25J11/1354-01-24J11
Edw. 3	26	1352-01-25J11/1353-01-24J11
Edw. 3	25	1351-01-25J11/1352-01-24J11
Edw. 3	24	1350-01-25J11/1351-01-24J11
Edw. 3	22	1348-01-25J11/1349-01-24J11
Edw. 3	23	1349-01-25J11/1350-01-24J11
Edw. 3	21	1347-01-25J11/1348-01-24J11
Edw. 3	20	1346-01-25J11/1347-01-24J11
Edw. 3	19	1345-01-25J11/1346-01-24J11
Edw. 3	18	1344-01-25J11/1345-01-24J11
Edw. 3	15	1341-01-25J11/1342-01-24J11
Edw. 3	16	1342-01-25J11/1343-01-24J11
Edw. 3	17	1343-01-25J11/1344-01-24J11
Edw. 3	3	1329-01-25J11/1330-01-24J11
Edw. 3	2	1328-01-25J11/1329-01-24J11
Edw. 3	1	1327-01-25J11/1328-01-24J11
Edw. 3	4	1330-01-25J11/1331-01-24J11
Edw. 3	5	1331-01-25J11/1332-01-24J11
Edw. 3	6	1332-01-25J11/1333-01-24J11
Edw. 3	7	1333-01-25J11/1334-01-24J11
Edw. 3	8	1334-01-25J11/1335-01-24J11
Edw. 3	9	1335-01-25J11/1336-01-24J11
Edw. 3	10	1336-01-25J11/1337-01-24J11
Edw. 3	11	1337-01-25J11/1338-01-24J11
Edw. 3	12	1338-01-25J11/1339-01-24J11
Edw. 4	2	1462-03-04J11/1463-03-03J11
Edw. 4	17	1477-03-04J11/1478-03-03J11
Edw. 4	18	1478-03-04J11/1479-03-03J11
Edw. 4	19	1479-03-04J11/1480-03-03J11
Edw. 4	20	1480-03-04J11/1481-03-03J11
Edw. 4	21	1481-03-04J11/1482-03-03J11
Edw. 4	22	1482-03-04J11/1483-03-03J11
Edw. 4	23	1483-03-04J11/1483-04-09J11
Edw. 4	1	1461-03-04J11/1462-03-03J11
Edw. 4	3	1463-03-04J11/1464-03-03J11
Edw. 4	4	1464-03-04J11/1465-03-03J11
Edw. 4	5	1465-03-04J11/1466-03-03J11
Edw. 4	6	1466-03-04J11/1467-03-03J11
Edw. 4	7	1467-03-04J11/1468-03-03J11
Edw. 4	8	1468-03-04J11/1469-03-03J11
Edw. 4	9	1469-03-04J11/1470-03-03J11
Edw. 4	10	1470-03-04J11/1471-03-03J11
Edw. 4	11	1471-03-04J11/1472-03-03J11
Edw. 4	12	1472-03-04J11/1473-03-03J11
Edw. 4	13	1473-03-04J11/1474-03-03J11
Edw. 4	14	1474-03-04J11/1475-03-03J11
Edw. 4	15	1475-03-04J11/1476-03-03J11
Edw. 4	16	1476-03-04J11/1477-03-03J11
Edw. 5	1	1483-04-09J11/1483-06-25J11
Edw. 6	6	1552-01-28J11/1553-01-27J11
